Blocs;Fermenter;Species;Time (h);CO2 (g/L);CO2_rate (g/L/h)
Sc vs Hu;F24;Hu;235.87;28.66;0.026
Sc vs Hu;F24;Hu;236.2;28.709;0.023
Sc vs Hu;F24;Hu;236.53;28.621;0.036
Sc vs Hu;F24;Hu;236.87;28.699;0.058
Sc vs Hu;F24;Hu;237.2;28.709;0.061
Sc vs Hu;F24;Hu;237.53;28.68;0.066
Sc vs Hu;F24;Hu;237.87;28.729;0.07
Sc vs Hu;F24;Hu;238.2;28.778;0.081
Sc vs Hu;F24;Hu;238.53;28.877;0.059
Sc vs Hu;F24;Hu;238.87;28.807;0.046
Sc vs Hu;F24;Hu;239.2;28.877;0.037
Sc vs Hu;F24;Hu;239.53;28.867;0.024
Sc vs Hu;F24;Hu;239.87;28.896;0.02
Sc vs Hu;F24;Hu;240.2;28.807;0.015
Sc vs Hu;F24;Hu;240.53;28.807;0.028
Sc vs Hu;F24;Hu;240.87;28.847;0.017
Sc vs Hu;F24;Hu;241.2;28.887;0.029
Sc vs Hu;F24;Hu;241.53;28.936;0.032
Sc vs Hu;F24;Hu;241.87;28.906;0.05
Sc vs Hu;F24;Hu;242.2;28.946;0.033
Sc vs Hu;F24;Hu;242.53;28.867;0.02
Sc vs Hu;F24;Hu;242.87;28.966;0.011
Sc vs Hu;F24;Hu;243.2;28.926;0.009
Sc vs Hu;F24;Hu;243.53;29.015;0.021
Sc vs Hu;F24;Hu;243.87;28.887;0.026
Sc vs Hu;F24;Hu;244.2;28.936;0.033
Sc vs Hu;F24;Hu;244.53;28.936;0.026
Sc vs Hu;F24;Hu;244.87;28.966;0.029
Sc vs Hu;F24;Hu;245.2;29.025;0.029
Sc vs Hu;F24;Hu;245.53;29.025;0.037
Sc vs Hu;F24;Hu;245.87;29.015;0.027
Sc vs Hu;F24;Hu;246.2;29.015;0.029
Sc vs Hu;F24;Hu;246.53;29.005;0.016
Sc vs Hu;F24;Hu;246.87;29.045;0.026
Sc vs Hu;F24;Hu;247.2;29.015;0.027
Sc vs Hu;F24;Hu;247.53;29.035;0.039
Sc vs Hu;F24;Hu;247.87;29.094;0.03
Sc vs Hu;F24;Hu;248.2;29.015;0.045
Sc vs Hu;F24;Hu;248.53;29.163;0.039
Sc vs Hu;F24;Hu;248.87;29.074;0.038
Sc vs Hu;F24;Hu;249.2;29.153;0.033
Sc vs Hu;F24;Hu;249.53;29.045;0.021
Sc vs Hu;F24;Hu;249.87;29.223;0.029
Sc vs Hu;F24;Hu;250.2;29.124;0.012
Sc vs Hu;F24;Hu;250.53;29.134;0.027
Sc vs Hu;F24;Hu;250.87;29.163;0.022
Sc vs Hu;F24;Hu;251.2;29.114;0.019
Sc vs Hu;F24;Hu;251.53;29.203;0.014
Sc vs Hu;F24;Hu;251.87;29.144;0.022
Sc vs Hu;F24;Hu;252.2;29.223;0.022
Sc vs Hu;F24;Hu;252.53;29.193;0.028
Sc vs Hu;F24;Hu;252.87;29.134;0.029
Sc vs Hu;F24;Hu;253.2;29.252;0.03
Sc vs Hu;F24;Hu;253.53;29.173;0.037
Sc vs Hu;F24;Hu;253.87;29.223;0.032
Sc vs Hu;F24;Hu;254.2;29.272;0.032
Sc vs Hu;F24;Hu;254.53;29.232;0.023
Sc vs Hu;F24;Hu;254.87;29.302;0.019
Sc vs Hu;F24;Hu;255.2;29.282;0.02
Sc vs Hu;F24;Hu;255.53;29.272;0.012
Sc vs Hu;F24;Hu;255.87;29.242;0.01
Sc vs Hu;F24;Hu;256.2;29.223;0.016
Sc vs Hu;F24;Hu;256.53;29.331;0.025
Sc vs Hu;F24;Hu;256.87;29.262;0.024
Sc vs Hu;F24;Hu;257.2;29.302;0.023
Sc vs Hu;F24;Hu;257.53;29.302;0.037
Sc vs Hu;F24;Hu;257.87;29.321;0.027
Sc vs Hu;F24;Hu;258.2;29.4;0.03
Sc vs Hu;F24;Hu;258.53;29.282;0.029
Sc vs Hu;F24;Hu;258.87;29.302;0.026
Sc vs Hu;F24;Hu;259.2;29.42;0.029
Sc vs Hu;F24;Hu;259.53;29.312;0.025
Sc vs Hu;F24;Hu;259.87;29.45;0.034
Sc vs Hu;F24;Hu;260.2;29.331;0.041
Sc vs Hu;F24;Hu;260.53;29.4;0.025
Sc vs Hu;F24;Hu;260.87;29.42;0.021
Sc vs Hu;F24;Hu;261.2;29.4;0.031
Sc vs Hu;F24;Hu;261.53;29.489;0.036
Sc vs Hu;F24;Hu;261.87;29.41;0.048
Sc vs Hu;F24;Hu;262.2;29.391;0.042
Sc vs Hu;F24;Hu;262.53;29.47;0.04
Sc vs Hu;F24;Hu;262.87;29.47;0.037
Sc vs Hu;F24;Hu;263.2;29.569;0.04
Sc vs Hu;F24;Hu;263.53;29.509;0.04
Sc vs Hu;F24;Hu;263.87;29.529;0.038
Sc vs Hu;F24;Hu;264.2;29.519;0.014
Sc vs Hu;F24;Hu;264.53;29.509;0.016
Sc vs Hu;F24;Hu;264.87;29.598;0.009
Sc vs Hu;F24;Hu;265.2;29.499;0.019
Sc vs Hu;F24;Hu;265.53;29.588;0.022
Sc vs Hu;F24;Hu;265.87;29.489;0.018
Sc vs Hu;F24;Hu;266.2;29.598;0.019
Sc vs Hu;F24;Hu;266.53;29.559;0.008
Sc vs Hu;F24;Hu;266.87;29.588;0.019
Sc vs Hu;F24;Hu;267.2;29.608;0.012
Sc vs Hu;F24;Hu;267.53;29.549;0.011
Sc vs Hu;F24;Hu;267.87;29.608;-0.01
Sc vs Hu;F24;Hu;268.2;29.549;-0.005
Sc vs Hu;F24;Hu;268.53;29.608;-0.015
Sc vs Hu;F24;Hu;268.87;29.598;-0.01
Sc vs Hu;F24;Hu;269.2;29.559;-0.008
Sc vs Hu;F24;Hu;269.53;29.519;-0.006
Sc vs Hu;F24;Hu;269.87;29.589;-0.001
Sc vs Hu;F24;Hu;270.2;29.519;0.011
Sc vs Hu;F24;Hu;270.53;29.589;0.023
Sc vs Hu;F24;Hu;270.87;29.549;0.037
Sc vs Hu;F24;Hu;271.2;29.599;0.037
Sc vs Hu;F24;Hu;271.53;29.569;0.04
Sc vs Hu;F24;Hu;271.87;29.679;0.042
Sc vs Hu;F24;Hu;272.2;29.629;0.032
Sc vs Hu;F24;Hu;272.53;29.669;0.025
Sc vs Hu;F24;Hu;272.87;29.619;0.014
Sc vs Hu;F24;Hu;273.2;29.708;0.012
Sc vs Hu;F24;Hu;273.53;29.649;0.006
Sc vs Hu;F24;Hu;273.87;29.659;0.014
Sc vs Hu;F24;Hu;274.2;29.629;0.011
Sc vs Hu;F24;Hu;274.53;29.649;0.01
Sc vs Hu;F24;Hu;274.87;29.679;0.002
Sc vs Hu;F24;Hu;275.2;29.698;0.004
Sc vs Hu;F24;Hu;275.53;29.698;0.019
Sc vs Hu;F24;Hu;275.87;29.679;0.019
Sc vs Hu;F24;Hu;276.2;29.659;0.015
Sc vs Hu;F24;Hu;276.53;29.669;0.02
Sc vs Hu;F24;Hu;276.87;29.639;0.031
Sc vs Hu;F24;Hu;277.2;29.788;0.037
Sc vs Hu;F24;Hu;277.53;29.698;0.031
Sc vs Hu;F24;Hu;277.87;29.718;0.034
Sc vs Hu;F24;Hu;278.2;29.768;0.021
Sc vs Hu;F24;Hu;278.53;29.808;0.014
Sc vs Hu;F24;Hu;278.87;29.768;-0.003
Sc vs Hu;F24;Hu;279.2;29.698;0.017
Sc vs Hu;F24;Hu;279.53;29.788;0.022
Sc vs Hu;F24;Hu;279.87;29.708;0.011
Sc vs Hu;F24;Hu;280.2;29.758;0.024
Sc vs Hu;F24;Hu;280.53;29.738;0.03
Sc vs Hu;F24;Hu;280.87;29.848;0.029
Sc vs Hu;F24;Hu;281.2;29.858;0.021
Sc vs Hu;F24;Hu;281.53;29.748;0.016
Sc vs Hu;F24;Hu;281.87;29.878;0.018
Sc vs Hu;F24;Hu;282.2;29.788;0.015
Sc vs Hu;F24;Hu;282.53;29.788;0.017
Sc vs Hu;F24;Hu;282.87;29.828;0.027
Sc vs Hu;F24;Hu;283.2;29.758;0.036
Sc vs Hu;F24;Hu;283.53;29.908;0.026
Sc vs Hu;F24;Hu;283.87;29.848;0.032
Sc vs Hu;F24;Hu;284.2;29.928;0.031
Sc vs Hu;F24;Hu;284.53;29.888;0.021
Sc vs Hu;F24;Hu;284.87;29.878;0.027
Sc vs Hu;F24;Hu;285.2;29.878;0.004
Sc vs Hu;F24;Hu;285.53;29.868;0.003
Sc vs Hu;F24;Hu;285.87;29.918;-0.001
Sc vs Hu;F24;Hu;286.2;29.878;0.011
Sc vs Hu;F24;Hu;286.53;29.967;0.021
Sc vs Hu;F24;Hu;286.87;29.858;0.011
Sc vs Hu;F24;Hu;287.2;29.868;0.015
Sc vs Hu;F24;Hu;287.53;29.908;0.005
Sc vs Hu;F24;Hu;287.87;29.947;0.007
Sc vs Hu;F24;Hu;288.2;29.977;0.009
Sc vs Hu;F24;Hu;288.53;29.858;0.012
Sc vs Hu;F24;Hu;288.87;29.967;0.012
Sc vs Hu;F24;Hu;289.2;29.888;0.001
Sc vs Hu;F24;Hu;289.53;29.918;0.022
Sc vs Hu;F24;Hu;289.87;29.967;0.029
Sc vs Hu;F24;Hu;290.2;29.888;0.035
Sc vs Hu;F24;Hu;290.53;29.977;0.032
Sc vs Hu;F24;Hu;290.87;29.908;0.037
Sc vs Hu;F24;Hu;291.2;30.107;0.028
Sc vs Hu;F24;Hu;291.53;29.997;0.013
Sc vs Hu;F24;Hu;291.87;29.957;0.019
Sc vs Hu;F24;Hu;292.2;30.037;0.015
Sc vs Hu;F24;Hu;292.53;29.997;0.026
Sc vs Hu;F24;Hu;292.87;29.997;0.016
Sc vs Hu;F24;Hu;293.2;29.938;0.033
Sc vs Hu;F24;Hu;293.53;30.037;0.033
Sc vs Hu;F24;Hu;293.87;30.077;0.024
Sc vs Hu;F24;Hu;294.2;30.117;0.033
Sc vs Hu;F24;Hu;294.53;30.067;0.022
Sc vs Hu;F24;Hu;294.87;30.067;0.021
Sc vs Hu;F24;Hu;295.2;30.057;0.005
Sc vs Hu;F24;Hu;295.53;30.057;0.002
Sc vs Hu;F24;Hu;295.87;30.107;-0.001
Sc vs Hu;F24;Hu;296.2;30.027;0.013
Sc vs Hu;F24;Hu;296.53;30.107;0.015
Sc vs Hu;F24;Hu;296.87;30.087;0.015
Sc vs Hu;F24;Hu;297.2;30.097;0.001
Sc vs Hu;F24;Hu;297.53;30.057;0.007
Sc vs Hu;F24;Hu;297.87;30.137;0.015
Sc vs Hu;F24;Hu;297.92;30.097;0.006
Sc vs Hu;F24;Hu;298.25;30.097;0.022
Sc vs Hu;F24;Hu;298.58;30.047;0.02
Sc vs Hu;F24;Hu;298.92;30.127;0.026
Sc vs Hu;F24;Hu;299.25;30.127;0.018
Sc vs Hu;F24;Hu;299.58;30.127;0.018
Sc vs Hu;F24;Hu;299.92;30.216;0.02
Sc vs Hu;F24;Hu;300.25;30.087;0.013
Sc vs Hu;F24;Hu;300.58;30.167;0.016
Sc vs Hu;F24;Hu;300.92;30.137;0.011
Sc vs Hu;F24;Hu;301.25;30.127;0.013
Sc vs Hu;F24;Hu;301.58;30.167;0.012
Sc vs Hu;F24;Hu;301.92;30.117;0.026
Sc vs Hu;F24;Hu;302.25;30.256;0.028
Sc vs Hu;F24;Hu;302.58;30.137;0.023
Sc vs Hu;F24;Hu;302.92;30.197;0.023
Sc vs Hu;F24;Hu;303.25;30.187;0.012
Sc vs Hu;F24;Hu;303.58;30.207;0.016
Sc vs Hu;F24;Hu;303.92;30.266;0.01
Sc vs Hu;F24;Hu;304.25;30.157;0.02
Sc vs Hu;F24;Hu;304.58;30.226;0.022
Sc vs Hu;F24;Hu;304.92;30.177;0.01
Sc vs Hu;F24;Hu;305.25;30.246;0.009
Sc vs Hu;F24;Hu;305.58;30.246;-0.001
Sc vs Hu;F24;Hu;305.92;30.226;0.011
Sc vs Hu;F24;Hu;306.25;30.306;-0.003
Sc vs Hu;F24;Hu;306.58;30.167;-0.006
Sc vs Hu;F24;Hu;306.92;30.246;-0.009
Sc vs Hu;F24;Hu;307.25;30.177;-0.012
Sc vs Hu;F24;Hu;307.58;30.256;-0.002
Sc vs Hu;F24;Hu;307.92;30.197;-0.006
Sc vs Hu;F24;Hu;308.25;30.197;0.016
Sc vs Hu;F24;Hu;308.58;30.256;0.011
Sc vs Hu;F24;Hu;308.92;30.187;0.015
Sc vs Hu;F24;Hu;309.25;30.266;0.013
Sc vs Hu;F24;Hu;309.58;30.197;0.022
Sc vs Hu;F24;Hu;309.92;30.286;0.028
Sc vs Hu;F24;Hu;310.25;30.246;0.019
Sc vs Hu;F24;Hu;310.58;30.236;0.03
Sc vs Hu;F24;Hu;310.92;30.276;0.019
Sc vs Hu;F24;Hu;311.25;30.276;0.021
Sc vs Hu;F24;Hu;311.58;30.336;0.024
Sc vs Hu;F24;Hu;311.92;30.246;0.024
Sc vs Hu;F24;Hu;312.25;30.336;0.035
Sc vs Hu;F24;Hu;312.58;30.276;0.027
Sc vs Hu;F24;Hu;312.92;30.286;0.03
Sc vs Hu;F24;Hu;313.25;30.386;0.028
Sc vs Hu;F24;Hu;313.58;30.296;0.028
Sc vs Hu;F24;Hu;313.92;30.426;0.018
Sc vs Hu;F24;Hu;314.25;30.336;0.013
Sc vs Hu;F24;Hu;314.58;30.386;0.012
Sc vs Hu;F24;Hu;314.92;30.366;-0.002
Sc vs Hu;F24;Hu;315.25;30.336;0.008
Sc vs Hu;F24;Hu;315.58;30.366;0.004
Sc vs Hu;F24;Hu;315.92;30.316;0.028
Sc vs Hu;F24;Hu;316.25;30.416;0.017
Sc vs Hu;F24;Hu;316.58;30.336;0.024
Sc vs Hu;F24;Hu;316.92;30.406;0.029
Sc vs Hu;F24;Hu;317.25;30.416;0.029
Sc vs Hu;F24;Hu;317.58;30.485;0.025
Sc vs Hu;F24;Hu;317.92;30.346;0.014
Sc vs Hu;F24;Hu;318.25;30.426;0.023
Sc vs Hu;F24;Hu;318.58;30.436;0.011
Sc vs Hu;F24;Hu;318.92;30.456;0.012
Sc vs Hu;F24;Hu;319.25;30.416;0.006
Sc vs Hu;F24;Hu;319.58;30.426;0.016
Sc vs Hu;F24;Hu;319.92;30.485;-0.002
Sc vs Hu;F24;Hu;320.25;30.436;-0.001
Sc vs Hu;F24;Hu;320.58;30.466;0.005
Sc vs Hu;F24;Hu;320.92;30.416;0.006
Sc vs Hu;F24;Hu;321.25;30.446;0.011
Sc vs Hu;F24;Hu;321.58;30.406;0.003
Sc vs Hu;F24;Hu;321.92;30.456;0.015
Sc vs Hu;F24;Hu;322.25;30.495;0.019
Sc vs Hu;F24;Hu;322.58;30.436;0.02
Sc vs Hu;F24;Hu;322.92;30.515;0.016
Sc vs Hu;F24;Hu;323.25;30.426;0.015
Sc vs Hu;F24;Hu;323.58;30.505;0.008
Sc vs Hu;F24;Hu;323.92;30.505;-0.001
Sc vs Hu;F24;Hu;324.25;30.466;0.01
Sc vs Hu;F24;Hu;324.58;30.485;0.004
Sc vs Hu;F24;Hu;324.92;30.485;0.011
Sc vs Hu;F24;Hu;325.25;30.495;0.005
Sc vs Hu;F24;Hu;325.58;30.446;0.013
Sc vs Hu;F24;Hu;325.92;30.535;0.022
Sc vs Hu;F24;Hu;326.25;30.495;0.011
Sc vs Hu;F24;Hu;326.58;30.505;0.016
Sc vs Hu;F24;Hu;326.92;30.515;0.008
Sc vs Hu;F24;Hu;327.25;30.535;0.008
Sc vs Hu;F24;Hu;327.58;30.555;0
Sc vs Hu;F24;Hu;327.92;30.466;0.009
Sc vs Hu;F24;Hu;328.25;30.555;0.018
Sc vs Hu;F24;Hu;328.58;30.476;0.007
Sc vs Hu;F24;Hu;328.92;30.525;0.014
Sc vs Hu;F24;Hu;329.25;30.525;0.008
Sc vs Hu;F24;Hu;329.58;30.565;0.018
Sc vs Hu;F24;Hu;329.92;30.615;0.014
Sc vs Hu;F24;Hu;330.25;30.476;0.012
Sc vs Hu;F24;Hu;330.58;30.595;0.01
Sc vs Hu;F24;Hu;330.92;30.495;-0.001
Sc vs Hu;F24;Hu;331.25;30.575;-0.025
Sc vs Hu;F25;Hu;0.19;0;0
Sc vs Hu;F25;Hu;0.53;0;0
Sc vs Hu;F25;Hu;0.86;0.009;0
Sc vs Hu;F25;Hu;1.19;0.036;0
Sc vs Hu;F25;Hu;1.53;0.045;0.012
Sc vs Hu;F25;Hu;1.86;0.073;0.009
Sc vs Hu;F25;Hu;2.19;0;0.006
Sc vs Hu;F25;Hu;2.53;0.018;0.003
Sc vs Hu;F25;Hu;2.86;0.045;0.002
Sc vs Hu;F25;Hu;3.19;0.027;0
Sc vs Hu;F25;Hu;3.53;0.036;-0.004
Sc vs Hu;F25;Hu;3.86;0.036;-0.003
Sc vs Hu;F25;Hu;4.19;0.045;-0.008
Sc vs Hu;F25;Hu;4.53;0.055;-0.008
Sc vs Hu;F25;Hu;4.86;0.027;0
Sc vs Hu;F25;Hu;5.19;0;0.005
Sc vs Hu;F25;Hu;5.53;-0.009;0.007
Sc vs Hu;F25;Hu;5.86;0.018;0.013
Sc vs Hu;F25;Hu;6.19;0.037;0.02
Sc vs Hu;F25;Hu;6.53;0.073;0.026
Sc vs Hu;F25;Hu;6.86;0.073;0.024
Sc vs Hu;F25;Hu;7.19;0.046;0.015
Sc vs Hu;F25;Hu;7.53;0.082;-0.001
Sc vs Hu;F25;Hu;7.86;0.082;-0.008
Sc vs Hu;F25;Hu;8.19;0.082;-0.009
Sc vs Hu;F25;Hu;8.53;0.055;-0.011
Sc vs Hu;F25;Hu;8.86;0.037;-0.019
Sc vs Hu;F25;Hu;9.19;0.009;-0.025
Sc vs Hu;F25;Hu;9.53;0.046;-0.03
Sc vs Hu;F25;Hu;9.86;0.073;-0.027
Sc vs Hu;F25;Hu;10.19;0.027;-0.022
Sc vs Hu;F25;Hu;10.53;-0.018;-0.019
Sc vs Hu;F25;Hu;10.86;0;-0.018
Sc vs Hu;F25;Hu;11.19;-0.037;-0.014
Sc vs Hu;F25;Hu;11.53;-0.009;-0.006
Sc vs Hu;F25;Hu;11.86;-0.009;0.005
Sc vs Hu;F25;Hu;12.19;-0.009;0.015
Sc vs Hu;F25;Hu;12.53;-0.009;0.017
Sc vs Hu;F25;Hu;12.86;0.028;0.022
Sc vs Hu;F25;Hu;13.19;0.018;0.014
Sc vs Hu;F25;Hu;13.53;0.009;0.015
Sc vs Hu;F25;Hu;13.86;0.037;0.014
Sc vs Hu;F25;Hu;14.19;0.037;0.016
Sc vs Hu;F25;Hu;14.53;0.046;0.014
Sc vs Hu;F25;Hu;14.86;0.009;0.012
Sc vs Hu;F25;Hu;15.19;0.046;0.012
Sc vs Hu;F25;Hu;15.53;0.046;0.02
Sc vs Hu;F25;Hu;15.86;0.074;0.025
Sc vs Hu;F25;Hu;16.19;0.064;0.024
Sc vs Hu;F25;Hu;16.53;0.037;0.029
Sc vs Hu;F25;Hu;16.86;0.064;0.025
Sc vs Hu;F25;Hu;17.19;0.138;0.028
Sc vs Hu;F25;Hu;17.53;0.11;0.032
Sc vs Hu;F25;Hu;17.86;0.083;0.043
Sc vs Hu;F25;Hu;18.19;0.129;0.047
Sc vs Hu;F25;Hu;18.53;0.12;0.05
Sc vs Hu;F25;Hu;18.86;0.147;0.059
Sc vs Hu;F25;Hu;19.19;0.175;0.074
Sc vs Hu;F25;Hu;19.53;0.221;0.082
Sc vs Hu;F25;Hu;19.86;0.212;0.09
Sc vs Hu;F25;Hu;20.19;0.267;0.105
Sc vs Hu;F25;Hu;20.53;0.322;0.115
Sc vs Hu;F25;Hu;20.86;0.331;0.133
Sc vs Hu;F25;Hu;21.19;0.35;0.147
Sc vs Hu;F25;Hu;21.53;0.423;0.163
Sc vs Hu;F25;Hu;21.86;0.497;0.175
Sc vs Hu;F25;Hu;22.19;0.543;0.185
Sc vs Hu;F25;Hu;22.53;0.654;0.202
Sc vs Hu;F25;Hu;22.86;0.691;0.21
Sc vs Hu;F25;Hu;23.19;0.755;0.213
Sc vs Hu;F25;Hu;23.53;0.839;0.218
Sc vs Hu;F25;Hu;23.86;0.894;0.226
Sc vs Hu;F25;Hu;24.19;0.996;0.229
Sc vs Hu;F25;Hu;24.53;1.051;0.241
Sc vs Hu;F25;Hu;24.86;1.144;0.243
Sc vs Hu;F25;Hu;25.19;1.227;0.247
Sc vs Hu;F25;Hu;25.53;1.319;0.255
Sc vs Hu;F25;Hu;25.86;1.393;0.263
Sc vs Hu;F25;Hu;26.19;1.495;0.269
Sc vs Hu;F25;Hu;26.53;1.55;0.268
Sc vs Hu;F25;Hu;26.86;1.652;0.272
Sc vs Hu;F25;Hu;27.19;1.763;0.267
Sc vs Hu;F25;Hu;27.53;1.883;0.267
Sc vs Hu;F25;Hu;27.86;1.948;0.273
Sc vs Hu;F25;Hu;28.19;2.013;0.274
Sc vs Hu;F25;Hu;28.53;2.133;0.261
Sc vs Hu;F25;Hu;28.86;2.17;0.258
Sc vs Hu;F25;Hu;29.19;2.281;0.258
Sc vs Hu;F25;Hu;29.53;2.429;0.267
Sc vs Hu;F25;Hu;29.86;2.475;0.271
Sc vs Hu;F25;Hu;30.19;2.502;0.268
Sc vs Hu;F25;Hu;30.53;2.65;0.272
Sc vs Hu;F25;Hu;30.86;2.734;0.269
Sc vs Hu;F25;Hu;31.19;2.844;0.269
Sc vs Hu;F25;Hu;31.53;2.928;0.276
Sc vs Hu;F25;Hu;31.86;2.992;0.28
Sc vs Hu;F25;Hu;32.19;3.103;0.275
Sc vs Hu;F25;Hu;32.53;3.196;0.274
Sc vs Hu;F25;Hu;32.86;3.288;0.272
Sc vs Hu;F25;Hu;33.19;3.363;0.276
Sc vs Hu;F25;Hu;33.53;3.474;0.279
Sc vs Hu;F25;Hu;33.86;3.576;0.281
Sc vs Hu;F25;Hu;34.19;3.642;0.284
Sc vs Hu;F25;Hu;34.53;3.735;0.29
Sc vs Hu;F25;Hu;34.86;3.846;0.293
Sc vs Hu;F25;Hu;35.19;3.939;0.291
Sc vs Hu;F25;Hu;35.53;4.051;0.291
Sc vs Hu;F25;Hu;35.86;4.144;0.289
Sc vs Hu;F25;Hu;36.19;4.255;0.29
Sc vs Hu;F25;Hu;36.53;4.339;0.294
Sc vs Hu;F25;Hu;36.86;4.423;0.295
Sc vs Hu;F25;Hu;37.19;4.516;0.292
Sc vs Hu;F25;Hu;37.53;4.59;0.287
Sc vs Hu;F25;Hu;37.86;4.73;0.285
Sc vs Hu;F25;Hu;38.19;4.86;0.288
Sc vs Hu;F25;Hu;38.53;4.934;0.29
Sc vs Hu;F25;Hu;38.86;5.009;0.296
Sc vs Hu;F25;Hu;39.19;5.074;0.298
Sc vs Hu;F25;Hu;39.53;5.185;0.296
Sc vs Hu;F25;Hu;39.86;5.297;0.293
Sc vs Hu;F25;Hu;40.19;5.399;0.306
Sc vs Hu;F25;Hu;40.53;5.539;0.31
Sc vs Hu;F25;Hu;40.86;5.623;0.312
Sc vs Hu;F25;Hu;41.19;5.725;0.309
Sc vs Hu;F25;Hu;41.53;5.781;0.305
Sc vs Hu;F25;Hu;41.86;5.948;0.305
Sc vs Hu;F25;Hu;42.19;6.013;0.302
Sc vs Hu;F25;Hu;42.53;6.115;0.309
Sc vs Hu;F25;Hu;42.86;6.236;0.317
Sc vs Hu;F25;Hu;43.19;6.32;0.322
Sc vs Hu;F25;Hu;43.53;6.441;0.319
Sc vs Hu;F25;Hu;43.86;6.525;0.328
Sc vs Hu;F25;Hu;44.19;6.655;0.331
Sc vs Hu;F25;Hu;44.53;6.794;0.334
Sc vs Hu;F25;Hu;44.86;6.878;0.333
Sc vs Hu;F25;Hu;45.19;6.98;0.33
Sc vs Hu;F25;Hu;45.53;7.111;0.33
Sc vs Hu;F25;Hu;45.86;7.222;0.325
Sc vs Hu;F25;Hu;46.19;7.334;0.322
Sc vs Hu;F25;Hu;46.53;7.409;0.321
Sc vs Hu;F25;Hu;46.86;7.53;0.311
Sc vs Hu;F25;Hu;47.19;7.643;0.307
Sc vs Hu;F25;Hu;47.53;7.755;0.306
Sc vs Hu;F25;Hu;47.86;7.849;0.312
Sc vs Hu;F25;Hu;48.19;7.942;0.317
Sc vs Hu;F25;Hu;48.53;8.008;0.315
Sc vs Hu;F25;Hu;48.86;8.148;0.316
Sc vs Hu;F25;Hu;49.19;8.251;0.32
Sc vs Hu;F25;Hu;49.53;8.391;0.319
Sc vs Hu;F25;Hu;49.86;8.494;0.319
Sc vs Hu;F25;Hu;50.19;8.578;0.316
Sc vs Hu;F25;Hu;50.53;8.681;0.314
Sc vs Hu;F25;Hu;50.86;8.812;0.309
Sc vs Hu;F25;Hu;51.19;8.869;0.301
Sc vs Hu;F25;Hu;51.53;8.981;0.298
Sc vs Hu;F25;Hu;51.86;9.084;0.298
Sc vs Hu;F25;Hu;52.19;9.234;0.299
Sc vs Hu;F25;Hu;52.53;9.29;0.3
Sc vs Hu;F25;Hu;52.86;9.374;0.303
Sc vs Hu;F25;Hu;53.19;9.468;0.302
Sc vs Hu;F25;Hu;53.53;9.58;0.302
Sc vs Hu;F25;Hu;53.86;9.702;0.296
Sc vs Hu;F25;Hu;54.19;9.804;0.304
Sc vs Hu;F25;Hu;54.53;9.889;0.305
Sc vs Hu;F25;Hu;54.86;10.001;0.303
Sc vs Hu;F25;Hu;55.19;10.104;0.306
Sc vs Hu;F25;Hu;55.53;10.16;0.299
Sc vs Hu;F25;Hu;55.86;10.3;0.299
Sc vs Hu;F25;Hu;56.19;10.394;0.295
Sc vs Hu;F25;Hu;56.53;10.497;0.285
Sc vs Hu;F25;Hu;56.86;10.637;0.274
Sc vs Hu;F25;Hu;57.19;10.665;0.265
Sc vs Hu;F25;Hu;57.53;10.787;0.253
Sc vs Hu;F25;Hu;57.86;10.853;0.253
Sc vs Hu;F25;Hu;58.19;10.918;0.251
Sc vs Hu;F25;Hu;58.53;10.984;0.255
Sc vs Hu;F25;Hu;58.86;11.069;0.27
Sc vs Hu;F25;Hu;59.19;11.173;0.277
Sc vs Hu;F25;Hu;59.53;11.295;0.286
Sc vs Hu;F25;Hu;59.86;11.37;0.292
Sc vs Hu;F25;Hu;60.19;11.484;0.296
Sc vs Hu;F25;Hu;60.53;11.587;0.295
Sc vs Hu;F25;Hu;60.86;11.691;0.29
Sc vs Hu;F25;Hu;61.19;11.766;0.285
Sc vs Hu;F25;Hu;61.53;11.86;0.283
Sc vs Hu;F25;Hu;61.86;11.964;0.278
Sc vs Hu;F25;Hu;62.19;12.058;0.271
Sc vs Hu;F25;Hu;62.53;12.143;0.265
Sc vs Hu;F25;Hu;62.86;12.237;0.267
Sc vs Hu;F25;Hu;63.19;12.322;0.264
Sc vs Hu;F25;Hu;63.53;12.416;0.27
Sc vs Hu;F25;Hu;63.86;12.473;0.279
Sc vs Hu;F25;Hu;64.19;12.558;0.285
Sc vs Hu;F25;Hu;64.53;12.68;0.288
Sc vs Hu;F25;Hu;64.86;12.756;0.29
Sc vs Hu;F25;Hu;65.19;12.906;0.289
Sc vs Hu;F25;Hu;65.53;13.01;0.289
Sc vs Hu;F25;Hu;65.86;13.086;0.284
Sc vs Hu;F25;Hu;66.19;13.17;0.275
Sc vs Hu;F25;Hu;66.53;13.255;0.27
Sc vs Hu;F25;Hu;66.53;13.255;0.27
Sc vs Hu;F25;Hu;66.86;13.331;0.259
Sc vs Hu;F25;Hu;66.86;13.331;0.259
Sc vs Hu;F25;Hu;67.19;13.425;0.256
Sc vs Hu;F25;Hu;67.19;13.425;0.256
Sc vs Hu;F25;Hu;67.53;13.528;0.26
Sc vs Hu;F25;Hu;67.53;13.528;0.26
Sc vs Hu;F25;Hu;67.86;13.604;0.261
Sc vs Hu;F25;Hu;67.86;13.604;0.261
